Number	Player	Team	 Purchased 	 Paid 
200	Warren Giles	Major League Baseball	 TRUE 	$5.82
201	Tom Acker	Cincinnati Redlegs	 TRUE 	$2.00
202	Roger Maris	Kansas City Athletics	 TRUE 	$21.25
203	Ozzie Virgil Sr.	Detroit Tigers 	 TRUE 	$3.00
204	Casey Wise	Milwaukee Braves	 FALSE 	
205	Don Larsen	New York Yankees	 TRUE 	$9.66
206	Carl Furillo	Los Angeles Dodgers	 FALSE 	
207	George Strickland	Cleveland Indians	 TRUE 	$4.87
208	Willie Jones	Philadelphia Phillies	 TRUE 	$2.00
209	Lenny Green	Baltimore Orioles	 FALSE 	
210	Ed Bailey	Cincinnati Redlegs	 FALSE 	
211	Bob Blaylock	St. Louis Cardinals	 TRUE 	$2.00
212	Aaron, Matthews	Milwaukee Braves	 FALSE 	
213	Jim Rivera	Chicago White Sox	 TRUE 	$4.16
214	Marcelino Solis	Chicago Cubs	 TRUE 	$1.51
215	Jim Lemon	Washington Senators	 FALSE 	
216	Andre Rodgers	San Francisco Giants	 TRUE 	$2.00
217	Carl Erskine	Los Angeles Dodgers	 FALSE 	
218	Roman Mejias	Pittsburgh Pirates	 TRUE 	$4.20
219	George Zuverink	Baltimore Orioles	 TRUE 	$1.51
220	Frank Malzone	Boston Red Sox	 TRUE 	$5.29
221	Bob Bowman	Philadelphia Phillies	 TRUE 	$2.40
222	Bobby Shantz	New York Yankees	 TRUE 	$1.86
223	St. Louis Cardinals	St. Louis Cardinals	 TRUE 	$3.00
224	Claude Osteen	Cincinnati Redlegs	 TRUE 	$12.03
225	Johnny Logan	Milwaukee Braves	 FALSE 	
226	Art Ceccarelli	Chicago Cubs	 FALSE 	
227	Hal W. Smith	Kansas City Athletics	 FALSE 	
228	Don Gross	Pittsburgh Pirates	 TRUE 	$3.43
229	Vic Power	Cleveland Indians	 FALSE 	
230	Bill Fischer	Washington Senators	 FALSE 	
231	Ellis Burton	St. Louis Cardinals	 TRUE 	$5.29
232	Eddie Kasko	Cincinnati Redlegs	 FALSE 	
233	Paul Foytack	Detroit Tigers 	 TRUE 	$2.00
234	Chuck Tanner	Chicago Cubs	 FALSE 	
235	Valmy Thomas	Philadelphia Phillies	 TRUE 	$2.35
236	Ted Bowsfield	Boston Red Sox	 TRUE 	$5.29
237	Turley, Richardson, McDougald	New York Yankees	 TRUE 	$1.87
238	Gene Baker	Pittsburgh Pirates	 FALSE 	
239	Bob Trowbridge	Milwaukee Braves	 FALSE 	
240	Hank Bauer	New York Yankees	 FALSE 	
241	Billy Muffett	San Francisco Giants	 TRUE 	$2.00
242	Ron Samford	Washington Senators	 TRUE 	$2.40
243	Marv Grissom	St. Louis Cardinals	 TRUE 	$8.49
244	Dick Gray	Los Angeles Dodgers	 FALSE 	
245	Ned Garver	Kansas City Athletics	 FALSE 	
246	J.W. Porter	Washington Senators	 TRUE 	$2.22
247	Don Ferrarese	Cleveland Indians	 TRUE 	$2.00
248	Boston Red Sox (1908-)	Boston Red Sox	 TRUE 	$5.28
249	Bobby Adams	Chicago Cubs	 TRUE 	$4.17
250	Billy O'Dell	Baltimore Orioles	 TRUE 	$2.00
251	Cletis Boyer	New York Yankees	 TRUE 	$2.00
252	Ray Boone	Chicago White Sox	 FALSE 	
253	Seth Morehead	Philadelphia Phillies	 TRUE 	$3.71
254	Zeke Bella	Kansas City Athletics	 FALSE 	
255	Del Ennis	Cincinnati Redlegs	 FALSE 	
256	Jerry Davie	Detroit Tigers 	 FALSE 	
257	Leon Wagner	San Francisco Giants	 FALSE 	
258	Fred Kipp	Los Angeles Dodgers	 FALSE 	
259	Jim Pisoni	Milwaukee Braves	 FALSE 	
260	Early Wynn	Chicago White Sox	 TRUE 	$10.60
261	Gene Stephens	Boston Red Sox	 FALSE 	
262	Drysdale, Podres, Labine	Los Angeles Dodgers	 TRUE 	$8.43
263	Bud Daley	Kansas City Athletics	 TRUE 	$3.00
264	Chico Carrasquel	Baltimore Orioles	 TRUE 	$1.00
265	Ron Kline	Pittsburgh Pirates	 TRUE 	$3.43
266	Woodie Held	Cleveland Indians	 FALSE 	
267	John Romonosky	Washington Senators	 TRUE 	$2.27
268	Tito Francona	Detroit Tigers 	 TRUE 	$5.77
269	Jack Meyer	Philadelphia Phillies	 FALSE 	
270	Gil Hodges	Los Angeles Dodgers	 FALSE 	
271	Orlando Pena	Cincinnati Redlegs	 FALSE 	
272	Jerry Lumpe	New York Yankees	 FALSE 	
273	Joe Jay	Milwaukee Braves	 FALSE 	
274	Jerry Kindall	San Francisco Giants	 TRUE 	$5.90
275	Jack Sanford	San Francisco Giants	 FALSE 	
276	Pete Daley	Boston Red Sox	 TRUE 	$2.40
277	Turk Lown	Chicago White Sox	 TRUE 	$2.64
278	Chuck Essegian	St. Louis Cardinals	 FALSE 	
279	Ernie Johnson	Baltimore Orioles	 FALSE 	
280	Frank Bolling	Detroit Tigers 	 FALSE 	
281	Walt Craddock	Kansas City Athletics	 TRUE 	$6.61
282	R.C. Stevens	Pittsburgh Pirates	 FALSE 	
283	Russ Heman	Cleveland Indians	 TRUE 	$4.61
284	Steve Korcheck	Washington Senators	 TRUE 	$1.98
285	Joe Cunningham	St. Louis Cardinals	 TRUE 	$2.37
286	Dean Stone	Boston Red Sox	 FALSE 	
287	Don Zimmer	Los Angeles Dodgers	 TRUE 	$7.00
288	Dutch Dotterer	Cincinnati Redlegs	 TRUE 	$12.88
289	Johnny Kucks	New York Yankees	 TRUE 	$3.45
290	Wes Covington	Milwaukee Braves	 TRUE 	
291	Pedro Ramos, Pascual	Washington Senators	 FALSE 	$3.10
292	Dick Williams	Kansas City Athletics	 TRUE 	$3.00
